kutti,standard
কুনু কিচ্ছুই বহুত আরামে হারাইয়া যায় নাইক্কা,কোন কিছুই খুব সহজে হারিয়ে যায় নি
কিস্সার কতা যহনই আহে,গল্পের কথা যখনই আসে
তহনই আমগোর পুলাপাইনের কতা ইয়াদ আহে,তখনই আমাদের শিশুদের কথা মনে পড়ে
পুলাপাইনে বেসিভাগ কিস্সা হুনতে ম্যালা ভালা পায়,শিশুরা প্রধানত গল্প শুনতে খুব ভালোবাসে
আমার লাগে আমগোর এইহানে খতম করন জরুরি,আমার মনে হয় আমাদের এখানে শেষ করা উচিত
যদি ওয়াক্ত পাওন যায়,যদি সময় পাওয়া যায়
আমরা আরো দেখুম,আমরা আরো দেখবো
আপনের লগে মোলাকাত হইয়া,আপনার সাথে দেখা হয়ে
সাচ্চাই ম্যালা ভালা লাগলো,আসলেই খুব ভালো লাগলো
আমারে অহন ঘুমাইবার দ্যান,আমাকে এখন ঘুমাতে দিন
আমি আপনের লগে পরে দেহা করুম,আমি আপনার সাথে পরে দেখা করব
চলো পড়াল্যাহা করি,চলো পড়াশুনা করি
চলো একখান বেরেক লই,চলো একটা বিরতি নেই
চলো আরাম কইরা লই,চলো বিশ্রাম নেয়া যাক
আমি মেহেরবানী কইরা এইহানে আইবার পারি নি,আমি কি দয়া করে এখানে আসতে পারি
যহন হগলতে এইহানে আছে,যেহেতু সবাই এখানে আছে
আমগোর সুরু করন উচিৎ অহন,আমাদের শুরু করা উচিত এখন
আমরা এইহানে আছি,আমরা এখানে আছি
আলাপ পাড়বার লাইগা,আলোচনা করার জন্য
আমরা এইহানে আইজ হাজির আছি,আমরা এখানে আজ উপস্থিত আছি
কতা কইবার লাইগা,কথা বলার জন্য
আপনে বাংলা সিনেমা দেখবার ভালা পান নি,আপনি কি বাংলা সিনেমা দেখতে ভালোবাসেন
আমি আপনেরে শুকরিয়া জানাইবার চাই,আমি আপনাকে ধন্যবাদ জানাতে চাই
আপনের জন্মদিন কুন দিন,আপনার জন্মদিন কবে
আপনে হেনে থাকবার পারেন নি,আপনি কি এখানে থাকতে পারেন
আপনে কতা কইবার পারেন নি ইংরেজিতে,আপনি কি কথা বলতে পারেন ইংরেজিতে
আপনে এই সওয়ালের জবাব দিবার পারবেন নি,আপনি কি এই প্রশ্নের জবাব দিতে পারবেন
আমি আপনের লাইগা ইন্তেজার করতাছি,আমি আপনার জন্য অপেক্ষা করছি
আপনে বাংলা নাটক দেখবার পারেন নি,আপনি কি বাংলা নাটক দেখতে পারেন
আপনে কুনু কাইব্য লেখবার পারেন নি,আপনি কি কোনো কবিতা লিখতে পারেন
আপনে এই বইডা পড়বার পারেন নি,আপনি কি এই বইটি পড়তে পারেন
আপনে কুনু গানে নাচবার পারেন নি,আপনি কি কোনো গানে নাচতে পারেন
তুই এই বইডা পড়বার পারস নি,তুই কি এই বইটি পড়তে পারিস
তুই আমার লগে একখান গান গাইবার পারবি নি,তুই আমার সঙ্গে একটি গান গাইতে পারবি
তুই আমার লগে থাকবার চাস নি,তুই আমার পাশে থাকতে চাস
তুই এই সিনেমা দেখবার চাস নি,তুই কি এই সিনেমা দেখতে চাস
তুই আমার লাইগা,তুই আমার জন্য
কী মহব্বত করবার পারবি,কী ভালোবাসতে পারবি
তুই কুনুদিন বাংলাদ্যাসে ঘুরবার গ্যাছিলি নি,তুই কি কখনো বাংলাদ্যাসে ঘুরতে গিয়েছিলি
তুই আমার লাইগা কুনু সোন্দর তোফা কিনবার পারবি নি,তুই আমার জন্য কোনো সুন্দর উপহার কিনতে পারবি
তুই এই গানডা হুনতে ভালা পাবি নি,তুই কি এই গানটি শুনতে ভালোবাসবি
তুই আমার লগে ছবি তুলবার পারবি নি,তুই আমার সঙ্গে কি ছবি তোলতে পারবি
তুই আমারতে এডি কিচ্ছু হিগবার চাস নি,তুই আমার কাছে এসব কিছু শিখতে চাস
তুই আমার লাইগা কিচ্ছু লেখবার পারবি নি,তুই কি আমার জন্য কিছু লিখতে পারবি
তুই আমার লগে বাংলায় কতা কইবার পারবি নি,তুই কি আমার সঙ্গে বাংলায় কথা বলতে পারবি
তুই এই ইস্কুলে পড়বার আইবার চাস নি,তুই কি এই স্কুলে পড়তে আসতে চাস
রোনালদো মহব্বতের চাইতেও ম্যালা কিচ্ছু,রোনালদো ভালোবাসার চেয়েও বেশি কিছু
আমরা মেসিরে ঘিন্না করি না,আমরা মেসিকে ঘৃণা করি না
আমি ফুটবলের বিশ্বকাপ দেখবার যাইতাছি,আমি ফুটবলের বিশ্বকাপ দেখতে যাচ্ছি
ফুটবল আমার পসন্দের খেলা,ফুটবল আমার প্রিয় খেলা
আমি ফুটবল খেলবার ভালা পাই,আমি ফুটবল খেলতে ভালোবাসি
কলকাতা মোহনবাগানের ফুটবল দল ম্যালা নামকরা,কলকাতা মোহনবাগানের ফুটবল দল অনেক জনপ্রিয়
আমি ফুটবল খেলবার আমার দোস্তগোর লগে যাইতাছি,আমি ফুটবল খেলতে আমার বন্ধুদের সঙ্গে যাচ্ছি
আমার পসন্দের ফুটবল খেলোয়াড় লিওনেল মেসি,আমার পছন্দের ফুটবল খেলোয়াড় লিওনেল মেসি
আমার দোস্তরা হপ্তায় দুইখান,আমার বন্ধুরা সপ্তাহের মধ্যে দুইটি
ফুটবল ম্যাচ খেলবার পারে,ফুটবল ম্যাচ খেলতে পারে
আমি ফুটবল খেলবার লাইগা খাড়াইয়া আছি,আমি ফুটবল খেলার জন্য প্রস্তুত
আমার পসন্দের ফুটবল দল আর্জেন্টিনা,আমার পছন্দের ফুটবল দল আর্জেন্টিনা
ফুটবল ম্যাচে বিশ্বকাপ জিতছে ফ্রান্স,ফুটবল ম্যাচে বিশ্বকাপ জয় করেছে ফ্রান্স
আমি ফুটবলে একখান গোল দিছি,আমি ফুটবলে একটি গোল করেছি
ফুটবল খেলা আমার জিন্দেগীর হিসসা,ফুটবল খেলা আমার জীবনের অংশ
আমি রোজ ফুটবল খেলবার যাই,আমি প্রতিদিন ফুটবল খেলতে যাই
বার্সেলোনা ফুটবল ক্লাব ম্যালা নামকরা,বার্সেলোনা ফুটবল ক্লাব খুব জনপ্রিয়
আমি ফুটবল ম্যাচ দেখবার ম্যালা ভালা পাই,আমি ফুটবল ম্যাচ দেখতে খুব ভালোবাসি
বাংলাদ্যাসের নামকরা ফুটবলারগুলা,বাংলাদ্যাসের জনপ্রিয় ফুটবলারগুলি
ম্যালা উঁচা দরের খেলোয়াড়,অনেক উচ্চ মানের খেলোয়াড়
ফুটবল খেলার সোময় আমি মজা পাই,ফুটবল খেলার সময় আমি আনন্দ পাই
আমি ফুটবল ম্যাচগুলা দেখবার ভালা পাই,আমি ফুটবল ম্যাচগুলি দেখতে ভালোবাসি
আমি ফুটবল ম্যাচে হাজির হইবার চাই,আমি ফুটবল ম্যাচে উপস্থিত হতে চাই
ব্রাজিল ফুটবল দল দুনিয়ার সেরা,ব্রাজিল ফুটবল দল বিশ্বসেরা
ব্রাজিল ফুটবল দল একখান কড়া দল,ব্রাজিল ফুটবল দল একটি শক্তিশালী দল
বাংলাদ্যাস ক্রিকেট দল কড়া দলগুলার মইদ্দে একখান,বাংলাদ্যাস ক্রিকেট দল শক্তিশালী দলের মধ্যে একটি
মেঘনা নদী বাংলাদ্যাসের একখান বড় নদী,মেঘনা নদী বাংলাদ্যাসের একটি প্রধান নদী
নীল নদী আফ্রিকার বড় নদীর একখান,নীল নদী আফ্রিকার প্রধান নদীর একটি
নীল আসমানের তলে তুমার হাত ধইরা হাইঁটা যাইবার চাই,নীল আকাশের নিচে তোমার হাত ধরে হেঁটে যেতে চাই
তুমার লগে নীল আসমানের তলে বইয়া আড্ডা মারবার চাই,তোমার সাথে নীল আকাশের নিচে বসে গল্প করতে চাই
আমাজন নদী দুনিয়ার হগলতের বড় নদী হিসাবে নামকরা,আমাজন নদী দুনিয়ার সবচেয়ে বড় নদী হিসাবে পরিচিত
আসমানের নীল রঙডা এক্কেরে ফাটাফাটি,আকাশের নীল রঙটি অসাধারণ
আসমানে তারাডি আমগোরে আসা দ্যায়,আকাশে তারাগুলি আমাদেরকে আশা দেয়
আসমানে মেঘের লাইগা বিষ্টি পড়ে,আকাশে মেঘের কারণে বৃষ্টি পড়ে
মাছগুলা পানির মইদ্দে সোন্দর,মাছগুলি পানির মধ্যে সুন্দর
তুমি এইহানে থাহলে আমি খুশি,তুমি এখানে থাকলে আমি খুশি
আমি বিয়ানবেলায় গুইম্মা উডি,আমি সকালে ঘুমিয়ে উঠি
আমার লাল রঙের গাড়িডা,আমার লাল রঙের গাড়িটি
কাইলকা চুরি হইয়া গ্যাছে গা,গতকাল চুরি হয়ে গেছে
আমার বাড়িত কাইলকা রাইতে চুরি হইছে,আমার বাসায় গতকাল রাতে চুরি হয়েছে
আমার গাড়ির রঙ অইলো লাল,আমার গাড়ির রঙ হলো লাল
সিধা জবানে কতা কওন দরকার,সহজ ভাষায় কথা বলা উচিত
আমি আপনের লগেই আছি,আমি আপনার সঙ্গে আছি
আমার আব্বায় দ্যাশের বাইরে থাহে,আমার আব্বু বিদেশে থাকে
আমার ছোডো ভাই,আমার ছোটো ভাই
দুই মাস পর বিলাতে,দুই মাস পর বিদেশে
পড়াল্যাহা করবার যাইবো,পড়ালেখা করতে যাবে
আমার বড় বইন আমারে ম্যালা মহব্বত করে,আমার বড় বোন আমাকে অনেক ভালবাসে
আমার বড় বইনরে আমি ম্যালা ভালা পাই,আমার বড় বোনকে আমি অনেক ভালবাসি
আপনের বড় বইনের সাদি হইয়া গ্যাছে নি,আপনার বড় বোনের কি বিয়ে হয়ে গেছে
তর বড় ভাইয়ের নাম কি,তোর বড় ভাইয়ের নাম কি
তর বড় ভাইয়ের লগে,তোর বড় ভাইয়ের সাথে
আমার সাদি হওনের কতা চলতাছে,আমার বিয়ে হওয়ার কথা চলছে
দ্যাশের বাইরে ঘুরবার যাওনডা আমার খোয়াব,বিদেশে ঘুরতে যাওয়া আমার স্বপ্ন
আমি তরে কুনুদিনও ভুলুম না,আমি কখনই তোমাকে ভুলবো না
তুই আমার জিন্দেগির রোশনি,তুমি আমার জীবনের আলো
বিয়ানে পড়ালেহা করন ভালা উপায়,সকালে পড়াশোনা করা ভালো উপায়
পরীক্ষার লাইগা বিয়ানে পড়ালেহা করন ভালা অয়,পরীক্ষার জন্য সকালে পড়াশোনা করা ভালো হয়
বিয়ানে পড়ালেহা কইরা,সকালে পড়াশোনা করে
রোজকার দিন সুরু করন ভালা অয়,প্রতিদিন শুরু করা ভালো হয়
বিয়ানে পড়ালেহা কইরা আমি আরামে মন দিবার পারি,সকালে পড়াশোনা করে আমি আরামে মনোযোগ দিতে পারি
বিয়ান বেলাতেই পড়ালেহা সুরু করন ভালা,সকালের শুরুতেই পড়াশোনা শুরু করা ভালো
ম্যালা দিন আগে এক গেরামে এক টুপি বেপারি আছিল,অনেকদিন আগে এক গ্রামে এক টুপি বিক্রেতা ছিলেন
হে একদিন পাশের গেরামে গিয়া টুপি বেচতাছিল,তিনি একদিন পাশের গ্রামে গিয়ে টুপি বিক্রি করছিলেন
হে রাস্তা দিয়া হ্যার গেরামের দিকে ফিরতাছিল,তিনি রাস্তা দিয়ে তার গ্রামের দিকে ফিরছিলেন
হেই ওয়াক্তে লগে দিয়া অ্যাক সিয়াল যাইতাছিল,সেই সময় পাশ দিয়ে এক শিয়াল যাচ্ছিল
আমারে হেনে লইয়া চল,আমাকে সেখানে নিয়ে চলো
এর পর থিকা হেরা দুইজনই,এরপর থেকে তারা দুজনই
সবজি বাগানে গিয়া প্যাট ভইরা খাওন খাইতো,সবজি বাগানে গিয়ে পেট ভরে খাবার খেতো
তুই গান গাইবার পারবি না,তুমি গান গাইতে পারবে না
অহন আমি গান গাইবার চাই,এখন আমি গান গাইতে চাই
অহন যদি তুই গান গাস,এখন যদি তুমি গান গাও
তয় চাষায় হুইনা হালাইবো,তবে চাষী শুনতে পাবে
একদিন নদীর ধারে এক গাছে,একদিন নদীর ধারে একটি গাছে
কাঠ কাডনের ওয়াক্তে হ্যার কুড়ালখান,কাঠ কাটার সময় তার কুড়ালটি
নদীর পানির মইদ্দে পইড়া যায়,নদীর জলের মধ্যে পড়ে যায়
আমার নীল আসমান দ্যাখবার ম্যালা ভালা লাগে,আমার নীল আকাশ দেখতে অনেক ভালো লাগে
তর নীল আসমান দ্যাখবার ভালা লাগে নি,তোমার কি নীল আকাশ দেখতে ভালো লাগে
আমার পরীক্ষা দিবার এক্কেরে ভালা লাগে না,আমার পরীক্ষা দিতে একদমই ভালো লাগে না
আপনের পরীক্ষা দিবার ভালা লাগে নি,আপনার কি পরীক্ষা দিতে ভালো লাগে
আপনে কেমুন আছেন,আপনি কেমন আছেন
আমি ভালা আছি,আমি ভালো আছি
কী করতাছেন আপনে অহন,কী করছেন আপনি এখন
আমি একখান বই পড়তাছি,আমি একটি বই পড়ছি
আপনে আর কুনু বই পড়ছেন নি,আপনি কী অন্যান্য বই পড়েছেন
তুই সরকারি চাকরি করতাছোস নি,তুমি কি সরকারি চাকরি করছো
আমি একখান সরকারি অফিসার,আমি একজন সরকারি কর্মকর্তা
তুই চাকরি করতাছোস নি,তুমি কি চাকরি করছো
আমি একজন প্রফেশনাল ব্লগার হইয়া কাম করতাছি,আমি একজন প্রফেশনাল ব্লগার হয়ে কাজ করছি
তুই কই চাকরি করতাছোস,তুমি কোথায় চাকরি করছো
দূরে কইজানি যেহানে কেউ নাই,দূরে কোথাও যেখানে কেউ নেই
আমি ক্যান হগল সময় কষ্ট পাই,আমি কেন সবসময় কষ্ট পাই
আমার মহব্বতে কমতি কি আছিল,আমার ভালোবাসায় কম কি ছিলো
হেরা তিন ভাই আছিল,তারা তিন ভাই ছিল
তয় হেগো মইদ্দে,কিন্তু তাদের মধ্যে
কুনু মিল আছিল না,কোনো মিল ছিলো না
আপনে আমার লগে,আপনি আমার সাথে
এমুন কইরা কথা,এভাবে কথা
কইবার পারেন না,বলতে পারেন না
আপনে ম্যালা ভালা মানুস,আপনি অনেক ভালো মানুষ
আমরা ডাহায় থাহি,আমরা ঢাকায় থাকি
আমি ডাহার মিরপুরে থাহি,আমি ঢাকার মিরপুরে থাকি
আমি হের চক্ষের মায়ায় পইড়া গেছি গা,আমি তার চোথের মায়ায় পড়েছি
হের হাসি ম্যালা সোন্দর,তার হাসি অনেক সুন্দর
হে হের সংসাররে ভালা পায়,সে তার পরিবারকে ভালবাসে
হের লাইগা আমি হগলডি করবার পারি,তার জন্য আমি সব কিছু করতে পারি
আমি হেরে ভালা পাই,আমি তাকে ভালবাসি
হের চুলগুলা ম্যালা লম্বা,তার চুলগুলি অনেক লম্বা
হেরে কাজল দিলে ম্যালা ভালা লাগে,তাকে কাজল দিলে অনেক ভালো লাগে
তুমি আমারে ভালা পাও না,তুমি কি আমায় ভালোবাসো না
তুমি বুঝ না ক্যালা,তুমি বুঝো না কেন
হে গান গাইবার পসন্দ করে,সে গান গাইতে পছন্দ করে
হে যেই মাইয়াডারে ভালা পায়,সে যেই মেয়েটিকে ভালবাসে
হেই মাইয়াডা ডাহায় থাহে,ওই মেয়েটি ঢাকায় থাকে
আপনে যেই পোলাডারে ভালা পান,আপনি যেই ছেলেকে ভালবাসেন
হেই পোলাডা কি আপনেরে ভালা পায় নি,সেই ছেলেটি কি আপনাকে ভালবাসে
হে একখান গাড়ি চুরি করছে,সে একটি গাড়ি চুরি করেছে
আমি তোমার লগে পুরা,আমি তোমার সাথে সারা
দুনিয়া ঘুইরা আইবার চাই,পৃথিবী ঘুরে আসতে চাই
মাগার আমি তো তোমার লগে যামু না,কিন্তু আমিতো তোমার সাথে যাবো না
তোমার কথা হুইনা ম্যালা ভালা লাগলো,তোমার কথা শুনে খুব ভালো লাগলো
তোমার ভালা না লাগলে কিচ্যু করনের নাই,তোমার ভালো না লাগলে কিছু করার নাই
ছবি তুলনের পর আমারে কেমুন লাগে,ছবি তোলার পর আমাকে কেমন লাগে
আমি আইজকা ম্যালা দিন পর হের লগে কথা কইছি,আমি আজকে অনেকদিন পর তার সাথে কথা বলেছি
হে দ্যাকতে ম্যালা সোন্দর,সে দেখতে অনেক সুন্দর
মাগার রূপই তো হগগুর না,কিন্তু সৌন্দর্যই সবকিছু না
হের চক্ষু হরিণের লাহান,তার চোখ হরিণের মতো
একখান মাইয়া আর একখান পোলা একলগে খেলতাছে,একটা মেয়ে আর একটা ছেলে একসাথে খেলছে
কালা কুত্তাডা ঘাসের মইদ্দে দিয়া দৌড়াইতাছে,কালো কুকুরটা ঘাসের মধ্যে দিয়ে ছুটছে
একখান কালা কুত্তা ঘাসের মইদ্দে দৌড়াইতাছে,একটা কালো কুকুর ঘাসের মধ্যে দৌড়াচ্ছে
একখান ছুটো কালা কুত্তা ঘাসের মইদ্দে হুইয়া আছে,একটি ছোট কালো কুকুর ঘাসে মধ্যে শুয়ে আছে
একদল বেডি রাস্তায় হাঁটতাছে,একদল মহিলা রাস্তায় হাঁটছে
দরজার ধারে দুইজন বইয়া গিটার বাজাইতাছে,দরজার কাছে দুইজন বসে গিটার বাজাচ্ছে
ফুটপাতে একলগে হাঁটতাছে তিনডা বেডি,ফুটপাতে একসঙ্গে হাঁটছেন তিন মহিলা
আম্মাজানের লাইগা ম্যালা খারাপ লাগতাছে,আম্মুর জন্য বেশি খারাপ লাগছে
আমাগো সংসারে আম্মাজানের,আমাদের পরিবারে আম্মুর
কামই বেসি বইলা আমার লাগে,অবদানই বেশি বলে আমার মনে হয়
তোগো লাইগা কিচ্ছু করবার তো পারলামই না,তোমাদের জন্য কিছু করতে তো পারলামই না 
উল্টা সংসারডারে খতম কইরা হালাইলাম,উল্টো পরিবারকে শেষ করে ফেললাম
হগল সময় ডরে ডরে থাকতাম,সবসময় ভয়ে ভয়ে থাকতাম
গলা দিয়া খাওন নামতো না,গলা দিয়ে খাবার নামতো না
শ্যাষ কইরা হালাইলাম হগলডি,শেষ করলাম সবকিছু
যদিও মাফ করনের যোগ্য না আমি,যদিও ক্ষমার যোগ্য না আমি
পারলে মাফ কইরা দিয়েন,পারলে ক্ষমা করে দিয়েন
আপনেগো অযোগ্য পোলা,আপনাদের অযোগ্য সন্তান
আল্লাহ রহমতের বিষ্টি দেও,আল্লাহ রহমতের বৃষ্টি দাও
বিষ্টির লাইগা ডাহায় কুনুহানে,বৃষ্টির জন্য ঢাকায় কোথাও
নামাজ পড়া অইবো নি,নামাজ পড়া হবে কি
পানির লাইগা চিল্লাহাল্লা,পানির জন্য হাহাকার
আর ভালা লাগতাছে না,আর ভালো লাগছে না
উত্তরাতে আমাগো বিল্ডিঙে,উত্তরাতে আমাদের ভবনে
কুনুভাবেই পানি পাইতাছি না আমরা,কোনোভাবেই পানি পাচ্ছি না আমরা
খালি এক গাড়ি পানি অইলেও,শুধু এক গাড়ি পানি হলেও
দুইডা দিন চলন যাইতো,দুইটা দিন চলা যেতো
কুনুমতেই ওয়াসা পানি দিতাছে না,কোনোভাবেই ওয়াসা পানি দিচ্ছে না
অহন কি করবার পারি কন দেহি,কি করতে পারি বলুন এখন
কারেন্ট ছাড়া না অয় থাহন যায়,বিদ্যুৎ ছাড়া না হয় থাকা যায়
মাগার পানি ছাড়া কেমনে থাহে মানুস,কিন্তু পানি ছাড়া কিভাবে থাকে মানুস
আইজকা জুম্মার দিন,আজকে জুম্মার দিন
আমি হুক্কুরবারে ম্যালা বিয়ানে উঠি,আমি শুক্রবার অনেক সকালে উঠি
হে ম্যালা বেলা কইরা ঘুমায়,সে অনেক বেলা করে ঘুমায়
হে আমারে একখান গিফট দিছে,সে আমাকে একটি উপহার দিয়েছে
আইজকা আমার জনমদিন,আজকে আমার জন্মদিন
আমার বয়স বেসি না,আমার বয়স বেশি না
হের থেইকা আমি দ্যাকতে সোন্দর,তার চেয়ে আমি দেখতে সুন্দর
এইবার কুরবানিতে লাল গরু কিনুম,এইবার কুরবানিতে লাল গরু কিনবো
হগগুর একলগে করন সম্ভব না,সবকিছু একসাথে করা সম্ভব না
তুই সাদি করতাছোস না ক্যান,তুমি বিয়ে করছো না কেন
ভালা মাইয়া পাইতাছি না,ভালো মেয়ে পাচ্ছি না
ঘড়িতে কয়ডা বাজে,ঘড়িতে কয়টা বাজে
আইজকা দুপুরে আমাগো দাওয়াত আছে,আজকে দুপুরে আমাদের দাওয়াত আছে
হগলে কেমুন আছোস,সবাই কেমন আছো
আইজকা কত তারিখ,আজকে কত তারিখ
মন ভালা করবার তরা কি করস,মন ভালো করতে তোমরা কি কর
আমি মাজে মইদ্দে গান হুনি,আমি মাঝেমধ্যে গান শুনি
আইজকাল পড়ালেহার চাপ ম্যালা বেসি,আজকাল পড়াশোনার চাপ অনেক বেশি
তগোর কিসসার বই পড়বার ভালা লাগে নি,তোমদের কি গল্পের বই পড়তে ভাল লাগে
তোগো পচন্দের লেখক কেডা,তোমাদের প্রিয় লেখক কে
আমার পচন্দের লেখক হুমায়ুন আহমেদ,আমার প্রিয় লেখক হুমায়ুন আহমেদ
ফুটবলে তোগো পচন্দের দল কুনডা,ফুটবলে তোমাদের প্রিয় দল কোনটি
ব্রাজিল ফুটবলের সেরা দল,ব্রাজিল ফুটবলের সেরা দল
হুক্কুর আর সনি হপ্তার ছুডির দিন,শুক্র এবং শনি সাপ্তাহিক ছুটির দিন
রবিবার থিকা আমাগো ভার্সিটি ক্লাস সুরু,রবিবার থেকে আমাদের বিশ্ববিদ্যালয় ক্লাস শুরু
তুই ডাহার কই থাহস,তুমি ঢাকার কোথায় থাকো
তোগো গেরামের বাড়ি কই,তোমাদের গ্রামের বাড়ি কোথায়
তুই কি সাঁতার জানস নি,তুমি কি সাঁতার জানো
তুই কুন ক্লাসে পড়স,তুমি কোন ক্লাসে পড়ো
ম্যালা বড়লোক অইবার চাই,অনেক বড়লোক হতে চাই
তুই কুন বিসয়ে পড়ালেহা করতাছোস,তুমি কোন বিষয় পড়াশোনা করছো
বাইরে ম্যালা গরম পড়ছে,বাহিরে প্রচুর গরম পড়েছে
আইজকা সারাদিন বিষ্টি অইছে,আজকে সারাদিন বৃষ্টি হয়েছে
ফেসবুক একখান জনপ্রিয় যোগাযোগের মাধ্যম,ফেসবুক একটি জনপ্রিয় যোগাযোগ মাধ্যম
জিন্দেগিতে উন্নতি করবার গেলে,জীবনে উন্নতি করতে গেলে
ম্যালা সময় ম্যালা বাধার,অনেক সময় অনেক বাঁধার
সামনা করন লাগে,সম্মুখীন হতে হয়
হগল বাধা পার অইয়া ,সকল বাধা পেরিয়ে
জিন্দেগিত কামিয়াব অওন লাগবো,জীবনে সফল হতে হবে
আমি চা খাইবার ভালা পাই,আমি চা খেতে পছন্দ করি
তর বইডা কি আমারে দিবার পারস,তাের বইটা কি আমাকে দিতে পারিস
তরে ধইন্যবাদ এমুন ভালা একখান,তােকে ধন্যবাদ এমন ভালাে একটি
বইয়ের খোজ দেওনের লাইগা,বইয়ের খোজ দেওয়ার জন্য
জোস একখান বই পড়ছি,অসাধারণ একটি বই পড়েছি
এইবারের ছুটিতে কক্সবাজার যামু,এবারের ছুটিতে কক্সবাজার যাবো
আমি আমার গেরামের বাড়ি যামু ঠিক করছি,আমি আমার গ্রামের বাড়ি যাব ঠিক করেছি
গেরামের রূপ ম্যালা সোন্দর,গ্রামের প্রকৃতি অনেক সুন্দর
নদীর দুই পাড়ের,নদীর দুই পাড়ের
সোন্দর দৃস্য দেইখা,মনোরম দৃশ্য দেখে
চক্ষু জুড়াইয়া যায়,চোখ জুড়িয়ে যায়
তর দামী কতার লাইগা,তোমার মূল্যবান বক্তব্যের জন্য
তরে বহুত শুক্রিয়া,তোমাকে অনেক ধন্যবাদ
তোগো হগলের দোয়া চাই,তোমাদের সকলের দোয়া চাই
সময় য্যান আইজ আর কাটতাছেই না,সময় যেন আজ আর কাটছেই না
ছুটোবেলা থিকাই আমার সাইকেল চালানর অভ্যাস,ছোটোবেলা থেকেই আমার সাইকেল চালানোর অভ্যাস
স্কুলেও সাইকেল চালাইয়া যাইতাম মাজে মইদ্দে,স্কুলেও সাইকেল চালিয়ে যেতাম মাঝে মাঝে
ক্লাসে আইজ কিচুতেই দিল বসতাছে না,ক্লাসে আজ কিছুতেই মন বসছে না
কারেন্ট ছাড়া ঘরে মোমবাতি জ্বালাইয়া বইয়া আছি,বিদ্যুৎবিহীন ঘরে মােমবাতি জ্বেলে বসে আছি
তর বাসায় কারেন্ট থাকবার পারে,তােমার বাসায় বিদ্যুৎ থাকতে পারে
তাই এইদিকে চইলা আইলাম,তাই এদিকে চলে এলাম
আচমকা কারেন্ট চইলা গেলো,হঠাৎ করে বিদ্যুৎ চলে গেল
আধুনিক সভ্যতারে বিজ্ঞান তোফা দিছে ম্যালা কিছু,আধুনিক সভ্যতাকে বিজ্ঞান উপহার দিয়েছে অনেক কিছু
কম্পিউটার আধুনিক বিজ্ঞান জগতরে ম্যালা সিধা করছে,কম্পিউটার আধুনিক বিজ্ঞান জগৎকে বিশেষভাবে সহজ করেছে
বাংলাদ্যাস গেরামপ্রধান দেশ,বাংলাদেশ গ্রামপ্রধান দেশ
আমাগো গেরামের মানুস প্রায় চাইর হাজার,আমাদের গ্রামের জনসংখ্যা প্রায় চার হাজার
বিলাইয়ের পচন্দের খাওন দুধ,বিড়ালের প্রিয় খাদ্য দুধ
বিলাই ম্যালা আরামপচন্দ প্রাণী,বিড়াল খুব আরামপ্রিয় প্রাণী
বাংলাদ্যাসের মাইনষের অর্ধেকই বেডি,বাংলাদেশের জনসংখ্যার অর্ধেকই নারী
পলিথিন ইস্তেমাল করলে,পলিথিনের ব্যবহার করলে
মারাত্মক ব্যারাম অইবার পারে,মারাত্মক রোগের সৃষ্টি হতে পারে
ইলিশ আমার পচন্দের মাছ,ইলিশ আমার প্রিয় মাছ
পদ্মার ইলিশ খাইতে ম্যালা সোয়াদ,পদ্মার ইলিশ খেতে অনেক সুস্বাদু
কামের একখান দিন কাডাইলাম,ব্যস্ত একটি দিন কাটালাম
রাইতের খাওন খাইয়াই ঘুমাইয়া পড়লাম,রাতের খাবারটি সেরেই ঘুমিয়ে পড়লাম
অহন পড়তে বহুম,এখন পড়তে বসবো
হগলের কাছ থিকা বিদায় নিতাছি,সকলের কাছ থেকে বিদায় নিচ্ছি
আবার দেহা অইবো,আবার দেখা হবে
বাংলাদ্যাসে ম্যালা দুর্যোগপ্রবণ এলাকা আছে,বাংলাদেশে বিভিন্ন দুর্যোগপ্রবণ অঞ্চল রয়েছে
ব্যাপারডা আসলেই চিন্তার,বিষয়টি আসলেই দুশ্চিন্তার
পড়বার ইচ্ছা করতাছে না আইজকা,পড়তে ইচ্ছা করতেসে না আজকে
তর পচন্দের বিষয় কি,তোমার প্রিয় বিষয় কি
অংক তর কেমুন লাগে,গণিত তোমার কেমন লাগে
আমি পড়ালেহায় কাঁচা,আমি পড়াশোনায় কাঁচা
আমারে হগলে এক নামেই চিনে,আমাকে সবাই এক নামে চিনে
তুই গেছিলি নি,তুমি কি গিয়েছিলে
তর পচন্দের তরকারি কি,তোমাার প্রিয় সবজি কি
আমার পচন্দের তরকারি টমেটো,আমার প্রিয় সবজি টোমেটো
চল একলগে গান গাই,চলো একসাথে গান গাই
চল একলগে মাছ ধরি,চলো একসাথে মাছ ধরি
আপনে আপনের খান্দান হুদ্দা,আপনি আপনার পরিবার সহ
আমাগো বাড়িত আইবেন,আমাদের বাসায় আসবেন
তুই আমারে আগে দেকছোস নি,তুমি কি আমাকে আগে দেখেছো
আমার লগে নাচবি নি,আমার সাথে নাচবা
তর পচন্দের গান কুনডা,তোমার প্রিয় গান কোনটি
তর পচন্দের গায়ক কেডা,তোমার প্রিয় গায়ক কে
কাইলকা ঘুড্ডি উড়ামু,কালকে ঘুড়ি উরাবো
